央視,#genre#

CCTV4K超高清,webview://https://www.yangshipin.cn/tv/home?pid=600002264
CCTV8K超高清,webview://https://www.yangshipin.cn/tv/home?pid=600156816

CCTV1综合,webview://https://www.yangshipin.cn/tv/home?pid=600001859
CCTV2财经,webview://https://tv.cctv.com/live/cctv2
CCTV3综艺,webview://https://tv.cctv.com/live/cctv3
CCTV4中文国际,webview://https://tv.cctv.com/live/cctv4
CCTV6电影,webview://https://tv.cctv.com/live/cctv6
CCTV7国防军事,webview://https://tv.cctv.com/live/cctv7
CCTV8电视剧,webview://https://tv.cctv.com/live/cctv8
CCTV9纪录,webview://https://www.yangshipin.cn/tv/home?pid=600004078
CCTV10科教,webview://https://tv.cctv.com/live/cctv10
CCTV11戏曲,webview://https://tv.cctv.com/live/cctv11
CCTV12社会与法,webview://https://tv.cctv.com/live/cctv12
CCTV13 新闻,webview://https://tv.cctv.com/live/cctv13
CCTV14少儿,webview://https://tv.cctv.com/live/cctvchild
CCTV15音乐,webview://https://tv.cctv.com/live/cctv15
CCTV17农业农村,webview://https://tv.cctv.com/live/cctv17
风云剧场,webview://https://www.yangshipin.cn/tv/home?pid=600099658
第一剧场,webview://https://www.yangshipin.cn/tv/home?pid=600099655
怀旧剧场,webview://https://www.yangshipin.cn/tv/home?pid=600099620

衛視,#genre#

江苏卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002521
浙江卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002520
湖南卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002475
北京卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002309
东方卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002483
山东卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002513
山西卫视,webview://https://www.yangshipin.cn/tv/home?pid=600190407
广东卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002485
广西卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002509
云南卫视,webview://https://www.yangshipin.cn/tv/home?pid=600190402
天津卫视,webview://https://www.yangshipin.cn/tv/home?pid=600152137
东南卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002484
四川卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002516
宁夏卫视,webview://https://www.yangshipin.cn/tv/home?pid=600190737
吉林卫视,webview://https://www.yangshipin.cn/tv/home?pid=600190405
安徽卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002532
江西卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002503
西藏卫视,webview://https://www.yangshipin.cn/tv/home?pid=600190403
辽宁卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002505
河北卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002493
河南卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002525
青海卫视,webview://https://www.yangshipin.cn/tv/home?pid=600190406
贵州卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002490
重庆卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002531
陕西卫视,webview://https://www.yangshipin.cn/tv/home?pid=600190400
海南卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002506
深圳卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002481
湖北卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002508
新疆卫视,webview://https://www.yangshipin.cn/tv/home?pid=600152138
内蒙古卫视,webview://https://www.yangshipin.cn/tv/home?pid=600190401
黑龙江卫视,webview://https://www.yangshipin.cn/tv/home?pid=600002498
 
 gather,#genre#

CCTV 1 綜合「Relay」,https://tv.iill.top/api/CCTV1/index.m3u8
CCTV 2 財經「Relay」,https://tv.iill.top/api/CCTV2/index.m3u8
CCTV 3 綜藝「Relay」,https://tv.iill.top/api/CCTV3/index.m3u8
CCTV 4 中文國際「Relay」,https://snap.iill.top/youtube/
CCTV 5 體育「Relay」,https://tv.iill.top/api/CCTV5/index.m3u8
CCTV 5+ 體育賽事「Relay」,https://tv.iill.top/api/CCTV5+/index.m3u8
CCTV 6 電影「Relay」,https://tv.iill.top/api/CCTV6/index.m3u8
CCTV 7 國防軍事「Relay」,https://tv.iill.top/api/CCTV7/index.m3u8
CCTV 8 電視劇「Relay」,https://tv.iill.top/api/CCTV8/index.m3u8
CCTV 9 記錄「Relay」,https://tv.iill.top/api/CCTV9/index.m3u8
CCTV 10 科教「Relay」,https://tv.iill.top/api/CCTV10/index.m3u8
CCTV 11 戲曲「Relay」,https://tv.iill.top/api/CCTV11/index.m3u8
CCTV 12 社會與法「Relay」,https://tv.iill.top/api/CCTV12/index.m3u8
CCTV 13 新聞「Relay」,https://tv.iill.top/api/CCTV13/index.m3u8
CCTV 14 少兒「Relay」,https://tv.iill.top/api/CCTV14/index.m3u8
CCTV 15 音樂「Relay」,https://tv.iill.top/api/CCTV15/index.m3u8

鳳凰衛視·中文「回看」,https://tv.iill.top/phenix/fhzw
