543,#genre#

TVBS新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv072
東森新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv152
東森財經,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv153
民視新聞,http://tv543.cc/litv.php?token=leifeng&id=litv-ftv13
中天新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv009
華視新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv052
中視新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv074
台視新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv051
寰宇新聞,http://tv543.cc/litv.php?token=leifeng&id=litv-longturn14
寰宇台灣,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv156
鏡新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv075
非凡新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv010
華視,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv041
中視,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv040
台視,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv066
民視,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv002

543央視,#genre#

1綜合,http://smt.iptv543.com/Smart.php?id=cctv1
2財經,http://smt.iptv543.com/Smart.php?id=cctv2
3綜藝,http://smt.iptv543.com/Smart.php?id=cctv3
4中文國際,http://smt.iptv543.com/Smart.php?id=cctv4
5體育,http://smt.iptv543.com/Smart.php?id=cctv5
5+體育賽事,http://smt.iptv543.com/Smart.php?id=cctv5plus
6電影,http://smt.iptv543.com/Smart.php?id=cctv6
7國防軍事,http://smt.iptv543.com/Smart.php?id=cctv7
8電視劇,http://smt.iptv543.com/Smart.php?id=cctv8hd
9記錄,http://smt.iptv543.com/Smart.php?id=cctv9hd
10科教,http://smt.iptv543.com/Smart.php?id=cctv10hd
11戲曲,http://smt.iptv543.com/Smart.php?id=cctv11
12社會與法,http://smt.iptv543.com/Smart.php?id=cctv12
13新聞,http://smt.iptv543.com/Smart.php?id=cctv13
14少兒,http://smt.iptv543.com/Smart.php?id=cctv14
15音樂,http://smt.iptv543.com/Smart.php?id=cctv15
16奧林匹克,http://smt.iptv543.com/Smart.php?id=cctv16
17農業農村,http://smt.iptv543.com/Smart.php?id=cctv17

543衛視,#genre#

江蘇衛視,http://smt.iptv543.com/Smart.php?id=jiangsu_twn
浙江衛視,http://smt.iptv543.com/Smart.php?id=zhejiang_twn
湖南衛視,http://smt.iptv543.com/Smart.php?id=hunan_twn
北京衛視,http://smt.iptv543.com/Smart.php?id=beijing
東方衛視,http://smt.iptv543.com/Smart.php?id=dongfangweishi_twn
大灣區衛視,http://smt.iptv543.com/Smart.php?id=nanfang_twn
四川衛視,http://smt.iptv543.com/Smart.php?id=sichuan_twn
東南衛視,http://smt.iptv543.com/Smart.php?id=fujian
深圳衛視,http://smt.iptv543.com/Smart.php?id=shenzhen
湖北衛視,http://smt.iptv543.com/Smart.php?id=hubei
廣西衛視,http://smt.iptv543.com/Smart.php?id=guangxi
廣東衛視,http://smt.iptv543.com/Smart.php?id=guangdongweishi_twn
